Sample	ALE score (neglog)	Merfin Completness	Merfin QV*	Error-free bases (%)	REAPR erros	REAPR fcd	REAPR low	Assembly length	contigs	N50	Largest contig	auN	BUSCO complete (%)	BUSCO single (%)	BUSCO duplicated (%)	BUSCO fragmented (%)	BUSCO missing (%)	BUSCO SEARCHED GENES	BUSCO complete	BUSCO single	BUSCO duplicated	BUSCO fragmented	BUSCO missing	ALE normalized	Score
Ctrachomatis_bad_assembly_00	-10554829.128261	56.49999999999999	19.22	62.71	1552.0	495.0	1057.0	1531437.0	49.0	185954.0	756052.0	408660.6	4.3	3.9	0.4	4.7	91.0	533.0	23.0	21.0	2.0	25.0	485.0	0.82	27.951957299850683
Ctrachomatis_bad_assembly_01	-8775522.778984	50.385000000000005	19.59	75.93	948.0	282.0	666.0	1337537.0	44.0	1038242.0	1038242.0	808063.4	4.6	3.8	0.8	7.1	88.3	533.0	24.0	20.0	4.0	38.0	471.0	0.85	33.40510109310936
Ctrachomatis_bad_assembly_02	-9491375.123398	50.99399999999999	19.6	72.8	1015.0	312.0	703.0	1352371.0	35.0	760708.0	760708.0	501248.4	2.8	2.4	0.4	6.8	90.4	533.0	15.0	13.0	2.0	36.0	482.0	0.84	33.11547995299772
Ctrachomatis_bad_assembly_03	-10201661.349977	54.086	19.49	67.07	1279.0	381.0	898.0	1443339.0	52.0	856903.0	856903.0	534334.0	4.9	4.7	0.2	6.8	88.3	533.0	26.0	25.0	1.0	36.0	471.0	0.82	34.00253244018076
Ctrachomatis_bad_assembly_04	-9398238.968791	50.879	19.66	72.61	930.0	304.0	626.0	1345227.0	39.0	745096.0	745096.0	456521.8	3.9	3.9	0.0	7.1	89.0	533.0	21.0	21.0	0.0	38.0	474.0	0.84	38.35424363130219
Ctrachomatis_bad_assembly_05	-9317401.334332	42.569	23.53	98.53	15.0	6.0	9.0	982904.0	3.0	596164.0	596164.0	498409.7	10.7	10.7	0.0	14.3	75.0	533.0	57.0	57.0	0.0	76.0	400.0	0.84	50.884883292115354
Ctrachomatis_bad_assembly_06	-8742041.672192	43.197	23.78	98.32	17.0	7.0	10.0	992164.0	3.0	416759.0	454180.0	397780.0	10.7	10.7	0.0	14.3	75.0	533.0	57.0	57.0	0.0	76.0	400.0	0.85	49.78718829811027
Ctrachomatis_bad_assembly_07	-5334209.398771	45.113	23.59	98.63	16.0	9.0	7.0	1040141.0	1.0	1040141.0	1040141.0	1040141.0	13.5	13.5	0.0	12.4	74.1	533.0	72.0	72.0	0.0	66.0	395.0	0.92	59.48153126121562
Ctrachomatis_bad_assembly_08	-9425319.927075	42.791	23.7	98.87	4.0	3.0	1.0	984430.0	3.0	341407.0	425204.0	350255.8	14.1	14.1	0.0	15.9	70.0	533.0	75.0	75.0	0.0	85.0	373.0	0.84	49.88266175640106
Ctrachomatis_bad_assembly_09	-5140061.493058	45.349	23.8	98.6	17.0	7.0	10.0	1041166.0	1.0	1041166.0	1041166.0	1041166.0	13.5	13.5	0.0	13.5	73.0	533.0	72.0	72.0	0.0	72.0	389.0	0.93	59.195333159369426
